trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
177,20:50:00,21:00:00,3,2,,0,0,
178,20:55:00,21:00:00,3,1,,0,0,
178,21:05:00,21:30:00,4,2,,0,0,
179,05:50:00,06:00:00,5,1,,0,0,
179,06:05:00,06:25:00,6,2,,0,0,
18,05:15:00,05:30:00,3,1,,0,0,
18,05:35:00,05:40:00,4,2,,0,0,
180,21:35:00,22:00:00,3,1,,0,0,
180,22:05:00,22:20:00,4,2,,0,0,
181,06:30:00,07:00:00,5,1,,0,0,
181,07:05:00,07:20:00,6,2,,0,0,
182,07:25:00,08:00:00,5,1,,0,0,
182,08:05:00,08:20:00,6,2,,0,0,
183,12:15:00,13:10:00,5,1,,0,0,
183,13:15:00,13:30:00,6,2,,0,0,
184,20:25:00,20:40:00,5,1,,0,0,
184,20:45:00,20:50:00,6,2,,0,0,
185,20:55:00,21:00:00,5,1,,0,0,
185,21:05:00,21:20:00,6,2,,0,0,
186,21:25:00,21:30:00,5,1,,0,0,
186,21:35:00,21:50:00,6,2,,0,0,
187,21:55:00,22:00:00,5,1,,0,0,
187,22:05:00,22:25:00,6,2,,0,0,
188,22:24:00,22:30:00,5,1,,0,0,
188,22:35:00,22:40:00,6,2,,0,0,
189,07:05:00,07:20:00,6,1,,0,0,
189,07:25:00,08:00:00,5,2,,0,0,
19,08:25:00,08:30:00,2,1,,0,0,
19,08:35:00,08:45:00,1,2,,0,0,
190,12:05:00,12:10:00,6,1,,0,0,
190,12:15:00,13:10:00,5,2,,0,0,
191,20:05:00,20:20:00,6,1,,0,0,
191,20:25:00,21:40:00,5,2,,0,0,
192,20:45:00,20:50:00,6,1,,0,0,
192,20:55:00,21:00:00,5,2,,0,0,
193,21:05:00,21:20:00,6,1,,0,0,
193,21:25:00,21:30:00,5,2,,0,0,
194,21:35:00,21:50:00,6,1,,0,0,
194,21:55:00,22:00:00,5,2,,0,0,
195,22:35:00,22:40:00,6,1,,0,0,
195,22:45:00,22:45:00,5,2,,0,0,
20,05:35:00,05:40:00,4,1,,0,0,
20,05:45:00,06:00:00,3,2,,0,0,
21,08:55:00,09:00:00,2,1,,0,0,
21,09:05:00,09:15:00,1,2,,0,0,
22,09:25:00,09:30:00,2,1,,0,0,
22,09:35:00,09:45:00,1,2,,0,0,
23,09:55:00,10:00:00,2,1,,0,0,
23,10:05:00,10:15:00,1,2,,0,0,
24,10:25:00,10:30:00,2,1,,0,0,
24,10:35:00,10:45:00,1,2,,0,0,
25,10:55:00,11:00:00,2,1,,0,0,
25,11:05:00,11:15:00,1,2,,0,0,
26,11:25:00,11:30:00,2,1,,0,0,
26,11:35:00,11:45:00,1,2,,0,0,
27,11:55:00,12:00:00,2,1,,0,0,
27,12:05:00,12:15:00,1,2,,0,0,
28,12:25:00,12:30:00,2,1,,0,0,
28,12:35:00,12:45:00,1,2,,0,0,
29,13:25:00,13:30:00,2,1,,0,0,
29,13:35:00,13:45:00,1,2,,0,0,
30,13:55:00,14:00:00,2,1,,0,0,
30,14:05:00,14:15:00,1,2,,0,0,
304,05:20:00,05:45:00,6,1,,0,0,
304,05:50:00,06:00:00,5,2,,0,0,
305,05:14:00,05:15:00,5,1,,0,0,
305,05:20:00,05:30:00,6,2,,0,0,
